Date,Temperature,Uncertainty,State,Country
12/1/1996,26.88,0.508,Andaman And Nicobar,India
1/1/1997,26.27,0.301,Andaman And Nicobar,India
2/1/1997,26.44,0.443,Andaman And Nicobar,India
3/1/1997,27.98,0.366,Andaman And Nicobar,India
4/1/1997,28.36,0.292,Andaman And Nicobar,India
5/1/1997,29.1,0.259,Andaman And Nicobar,India
6/1/1997,28.57,0.391,Andaman And Nicobar,India
7/1/1997,27.76,0.428,Andaman And Nicobar,India
8/1/1997,28.09,0.298,Andaman And Nicobar,India
9/1/1997,27.41,0.233,Andaman And Nicobar,India
10/1/1997,27.66,0.245,Andaman And Nicobar,India
11/1/1997,27.87,0.358,Andaman And Nicobar,India
12/1/1997,28.05,0.737,Andaman And Nicobar,India
1/1/1998,27.58,0.435,Andaman And Nicobar,India
2/1/1998,27.7,0.411,Andaman And Nicobar,India
3/1/1998,28.61,0.455,Andaman And Nicobar,India
4/1/1998,29.75,0.313,Andaman And Nicobar,India
5/1/1998,30,0.214,Andaman And Nicobar,India
6/1/1998,28.59,0.646,Andaman And Nicobar,India
7/1/1998,28.54,0.508,Andaman And Nicobar,India
8/1/1998,28.07,0.201,Andaman And Nicobar,India
9/1/1998,27.75,0.157,Andaman And Nicobar,India
10/1/1998,27.37,0.791,Andaman And Nicobar,India
11/1/1998,27.84,1.071,Andaman And Nicobar,India
12/1/1998,27.5,0.342,Andaman And Nicobar,India
1/1/1999,27.07,0.509,Andaman And Nicobar,India
2/1/1999,27.67,0.411,Andaman And Nicobar,India
3/1/1999,28.03,0.213,Andaman And Nicobar,India
4/1/1999,28.1,0.413,Andaman And Nicobar,India
5/1/1999,27.86,0.304,Andaman And Nicobar,India
6/1/1999,27.62,0.383,Andaman And Nicobar,India
7/1/1999,27.85,0.326,Andaman And Nicobar,India
8/1/1999,27.44,0.487,Andaman And Nicobar,India
9/1/1999,27.16,0.298,Andaman And Nicobar,India
10/1/1999,27.01,0.322,Andaman And Nicobar,India
11/1/1999,27.23,0.532,Andaman And Nicobar,India
12/1/1999,26.51,0.243,Andaman And Nicobar,India
1/1/2000,27.03,0.338,Andaman And Nicobar,India
2/1/2000,27.07,0.486,Andaman And Nicobar,India
3/1/2000,27.62,0.588,Andaman And Nicobar,India
4/1/2000,28.07,1.11,Andaman And Nicobar,India
5/1/2000,28.42,0.286,Andaman And Nicobar,India
6/1/2000,27.79,0.398,Andaman And Nicobar,India
7/1/2000,28.16,0.586,Andaman And Nicobar,India
8/1/2000,27.81,0.273,Andaman And Nicobar,India
9/1/2000,27.72,0.295,Andaman And Nicobar,India
10/1/2000,27.28,0.411,Andaman And Nicobar,India
11/1/2000,27.71,1.015,Andaman And Nicobar,India
12/1/2000,27.48,0.4,Andaman And Nicobar,India
1/1/2001,27.11,0.357,Andaman And Nicobar,India
2/1/2001,27.19,0.471,Andaman And Nicobar,India
3/1/2001,28.04,0.256,Andaman And Nicobar,India
4/1/2001,29.28,0.483,Andaman And Nicobar,India
5/1/2001,28.47,1.165,Andaman And Nicobar,India
6/1/2001,28.27,0.324,Andaman And Nicobar,India
7/1/2001,28.29,0.449,Andaman And Nicobar,India
8/1/2001,28.15,0.595,Andaman And Nicobar,India
9/1/2001,27.81,0.304,Andaman And Nicobar,India
10/1/2001,27.35,0.22,Andaman And Nicobar,India
11/1/2001,27.36,0.511,Andaman And Nicobar,India
12/1/2001,27.35,0.425,Andaman And Nicobar,India
1/1/2002,27.09,0.284,Andaman And Nicobar,India
2/1/2002,27.4,0.709,Andaman And Nicobar,India
3/1/2002,28.19,0.722,Andaman And Nicobar,India
4/1/2002,28.87,0.373,Andaman And Nicobar,India
